


Gadgets
=======


0x000a1713: aad 0x81; ret 0x465; 
0x0010b5d5: shl byte ptr [eax], 0x39; ret 0x1776; 
0x0010b5ec: shl byte ptr [eax], 0x39; ret 0xe977; 
0x000fb667: shl byte ptr [ecx], 1; ret 0xc2f7; 
0x001031d9: shl byte ptr [ecx], cl; ret 0x548d; 
0x000446dc: shl byte ptr [ecx], cl; ret 0xcd89; 
0x001056b3: shl byte ptr [esi + 1], 1; ret 0x2a74; 
0x000a592d: shl byte ptr [esi - 0x70], 1; ret; 
0x0004a901: shl dword ptr [edx - 0x36], -0x77; ret 0xf231; 
0x0003ea93: shl eax, 3; ret; 
0x0005bdbb: shl eax, cl; ret; 
0x0005bdc2: shl edx, cl; ret; 
0x00037e85: shr bl, 0xde; ret; 
0x0004642a: shr eax, 0x10; ret; 
0x0002d714: shr eax, 0x18; ret; 
0x0004e1a0: shr eax, 0x1f; ret; 
0x00046426: shr eax, 8; ret; 
0x0005bd06: shr eax, cl; ret; 
0x0005bcff: shr edx, cl; ret; 
0x0003bd46: stosd dword ptr es:[edi], eax; ret; 
0x000c2731: sub al, 0x29; ret 0x1775; 
0x000dc51a: sub al, 0x29; ret 0x4c8b; 
0x000a7e27: sub al, 0x29; ret 0x5489; 
0x000e4056: sub al, 0x29; ret 0x9439; 
0x000e25db: sub al, 0x29; ret 0xd639; 
0x000893fa: sub al, 0x5b; ret; 
0x000590a5: sub al, 0x83; ret 0x3901; 
0x0006a1e0: sub al, 0x83; ret 0x8901; 
0x0002ec48: sub al, 0x83; ret 0xf01; 
0x000514f2: sub al, 0x89; ret 0xeac1; 
0x000df1c1: sub al, 1; ret 0x4589; 
0x00030989: sub al, 9; ret 0x4e74; 
0x00030924: sub al, 9; ret 0x840f; 
0x000c1e30: sub al, ch; ret 0x498; 
0x000e3ce8: sub al, ch; ret 0xfffa; 
0x00048455: sub byte ptr [eax - 0x7cfea9b4], cl; ret 0x8301; 
0x000d57b1: sub byte ptr [ebx - 0x7cdbdbac], cl; ret 0x3906; 
0x0003e2d0: sub byte ptr [ebx - 0x7cebdbac], cl; ret 0x3104; 
0x0003a78b: sub byte ptr [ecx], bh; ret 0x860f; 
0x0005c10a: sub byte ptr [ecx], cl; ret 0x448b; 
0x0013b407: sub byte ptr [edx], al; ret 0xe0a; 
0x0005cb1b: sub cl, bl; ret 0xc9d8; 
0x0003310e: sub cl, byte ptr [ecx - 0x7cb7dbb4]; ret 0x8301; 
0x0006742a: sub dh, dh; ret 0x7408; 
0x001084fb: sub dh, dh; ret 0xf02; 
0x0010811a: sub dh, dh; ret 0xf04; 
0x000eba5a: sub dword ptr [edi + edi*8], 0x8bffff; ret; 
0x0004e9c0: sub dword ptr [esp + eax - 0x77], esi; ret 0xdfeb; 
0x000ead96: sub eax, 0x20; ret; 
0x000fcec7: sub eax, 0x810000e8; ret; 
0x000ea5c7: sub eax, 0x81000211; ret; 
0x000d21c7: sub eax, 0x81000395; ret; 
0x000c96c7: sub eax, 0x81000420; ret; 
0x000c1dc7: sub eax, 0x81000499; ret; 
0x000bf6c7: sub eax, 0x810004c0; ret; 
0x0009dec7: sub eax, 0x810006d8; ret; 
0x000962c7: sub eax, 0x81000754; ret; 
0x0008e0c7: sub eax, 0x810007d6; ret; 
0x0008bdc7: sub eax, 0x810007f9; ret; 
0x000862c7: sub eax, 0x81000854; ret; 
0x00082dc7: sub eax, 0x81000889; ret; 
0x00075ac7: sub eax, 0x8100095c; ret; 
0x00064fc7: sub eax, 0x81000a67; ret; 
0x0005d4c7: sub eax, 0x81000ae2; ret; 
0x000597c7: sub eax, 0x81000b1f; ret; 
0x000481c7: sub eax, 0x81000c35; ret; 
0x0002a344: sub eax, 0x8905e8c1; ret 0x48d; 
0x000c5204: sub eax, dword ptr [edx + 0x10]; ret; 
0x000cb99b: sub eax, dword ptr [edx + 4]; ret; 
0x000f9a05: sub edi, esi; ret 0xff00; 
0x000b3e52: test al, 0x89; ret 0x44c7; 
0x0003c0a2: test byte ptr [eax + eax], 0x81; ret; 
0x000e6558: test byte ptr [eax - 0x7d000000], ch; ret 0x8301; 
0x0002bb24: test byte ptr [ecx + 0x367c], al; ret; 
0x000d2a3f: test byte ptr [ecx - 0x28a4], al; ret; 
0x000c54e2: test byte ptr [ecx - 0x38824], al; ret; 
0x000c606e: test byte ptr [ecx - 0x38834], al; ret; 
0x000c6381: test byte ptr [ecx - 0x38840], al; ret; 
0x000ba621: test byte ptr [edi - 0x77000000], dl; ret 0x428b; 
0x0000c309: test byte ptr [edi], 0; ret; 
0x000b61f8: test byte ptr [edi], 0x84; ret 0; 
0x00042517: test byte ptr [edi], 0x84; ret; 
0x000663bf: test byte ptr [edi], 0x8e; ret; 
0x00096083: test byte ptr [edi], 0x94; ret 0xd689; 
0x0005be40: test byte ptr [edi], 0x94; ret 0xdaf7; 
0x000f57fa: test byte ptr [edi], 0x9f; ret 0xd201; 
0x0004e9df: test byte ptr [edx - 0x76000002], dl; ret 0xbeeb; 
0x000d4a8f: test byte ptr [esi - 0x76fffffe], dl; ret 0x408b; 
0x0007cef3: test byte ptr [esi - 0x76ffffff], dl; ret 0xe283; 
0x000e9350: test byte ptr [esi - 0x77000000], bh; ret 0xe280; 
0x000a79a8: test dword ptr [0x83000001], ecx; ret 0x3901; 
0x000f7838: test dword ptr [ebx - 0x7cfffffc], eax; ret 0x8901; 
0x000d6050: test dword ptr [ecx + 0x9d2f7ca], ecx; ret 0xfa31; 
0x000adc75: test dword ptr [edi - 0x16000003], edi; ret; 
0x000f0a4b: test eax, 0x810001ac; ret; 
0x00065a4b: test eax, 0x81000a5c; ret; 
0x00050d4b: test eax, 0x81000ba9; ret; 
0x0004874b: test eax, 0x81000c2f; ret; 
0x0004074b: test eax, 0x81000caf; ret; 
0x0003eb4b: test eax, 0x81000ccb; ret; 
0x000d35b3: test eax, 0x89fff541; ret 0x4489; 
0x0005cf06: verw ax; ret; 
0x0004e6f5: xchg ah, al; ret; 
0x000af81e: xchg dword ptr [ecx - 0x7cfffff9], edx; ret 0x8b08; 
0x000af742: xchg dword ptr [edx - 0x7cfffff9], ebp; ret 0x8b08; 
0x000af6df: xchg dword ptr [edx - 0x7cfffff9], edi; ret 0x8b08; 
0x00060bc8: xchg dword ptr [edx], eax; ret; 
0x0012e429: xchg dword ptr [edx], ecx; ret; 
0x000e3cde: xchg dword ptr [esi - 0x76000002], ecx; ret 0x448b; 
0x0003c6f6: xchg eax, ebp; ret 0x5438; 
0x0006491a: xchg eax, ebp; ret 0xb60f; 
0x000576a2: xchg eax, ebp; ret 0xd089; 
0x000a5f68: xchg eax, ebp; ret 0xd789; 
0x000d3aaf: xchg eax, ebp; ret 0xe0d3; 
0x0003c6c5: xchg eax, ebp; ret 0xe84; 
0x000bb1f7: xchg eax, ebp; ret 0xf089; 
0x00108907: xchg eax, ebp; ret 0xfff1; 
0x00046b64: xchg eax, ebx; ret 0xfbdf; 
0x0006648e: xchg eax, ebx; ret 0xfc02; 
0x00074a16: xchg eax, ebx; ret 0xfc0b; 
0x0007712b: xchg eax, ecx; ret; 
0x00095e43: xchg eax, edi; ret 0x920f; 
0x000db8b2: xchg eax, edi; ret 0xd029; 
0x000f07c5: xchg eax, edi; ret 0xfffc; 
0x000613a3: xchg eax, edx; ret 0x920f; 
0x0005d859: xchg eax, edx; ret 0xd028; 
0x00083413: xchg eax, esp; ret 0x1689; 
0x00083fff: xchg eax, esp; ret 0x1789; 
0x000e1354: xchg eax, esp; ret 0x688d; 
0x0010f628: xchg eax, esp; ret 0x8910; 
0x000d00f9: xchg eax, esp; ret 0xb60f; 
0x0002fe49: xchg eax, esp; ret 0xd089; 
0x00096085: xchg eax, esp; ret 0xd689; 
0x0005be42: xchg eax, esp; ret 0xdaf7; 
0x000bb1bd: xchg eax, esp; ret 0xf089; 
0x000d0119: xchg eax, esp; ret 0xf685; 
0x001414cc: xchg eax, esp; ret 1; 
0x00007b88: xchg eax, esp; ret; 
0x000dcc21: xor al, 0x29; ret 0x5489; 
0x000645d4: xor al, 0x5b; ret; 
0x001033a2: xor al, 0x89; ret 0xeac1; 
0x000636ba: xor al, 1; ret 0xc6; 
0x0005387e: xor al, byte ptr [ebp - 0x7cdc8b0a]; ret 0x8301; 
0x00100430: xor al, ch; ret 0xb2; 
0x000d422f: xor al, ch; ret; 
0x0002d94d: xor bh, byte ptr [eax]; ret 0x2e75; 
0x000df1bd: xor byte ptr [ebx + 0x12c2454], cl; ret 0x4589; 
0x000663f5: xor byte ptr [ebx + 0x1342454], cl; ret 0xc6; 
0x000e1b31: xor byte ptr [ebx + 0x13c2454], cl; ret 0x5489; 
0x000885c6: xor byte ptr [ebx - 0x7cefdbac], cl; ret 0x8901; 
0x0002ee6c: xor byte ptr [ecx - 0x76a3dbb4], cl; ret 0x13eb; 
0x0003ae14: xor byte ptr [ecx], bh; ret 0x860f; 
0x000c26a2: xor byte ptr [ecx], bh; ret 0xee7d; 
0x000679b9: xor byte ptr [ecx], cl; ret 0x2174; 
0x0012d997: xor byte ptr [edx], al; ret 0xe0a; 
0x000ac4bd: xor cl, ch; ret; 
0x00006e19: xor dword ptr [eax + eax], ecx; ret; 
0x000c77ac: xor eax, 0x5bfffc7a; ret; 
0x00120840: xor eax, 0x7cfff2b4; ret; 
0x000e07bf: xor eax, 0x810002af; ret; 
0x000a2fbf: xor eax, 0x81000687; ret; 
0x0009c4bf: xor eax, 0x810006f2; ret; 
0x00090abf: xor eax, 0x810007ac; ret; 
0x000842bf: xor eax, 0x81000874; ret; 
0x000657bf: xor eax, 0x81000a5f; ret; 
0x0005c87b: xor eax, dword ptr [ecx]; ret 0xd089; 
0x000283c2: xor eax, eax; ret; 
0x0010339e: xor ecx, dword ptr [ebx - 0x76cbdbbc]; ret 0xeac1; 
0x000c8ed4: xor edx, edx; ret; 
0x000d5d2d: aaa; ret; 
0x0012fe75: aam; ret; 
0x0005c89a: aas; ret; 
0x00076e64: clc; ret 0xfffa; 
0x000372ed: clc; ret 0xfffb; 
0x00124f6c: clc; ret 2; 
0x0005bda0: clc; ret; 
0x0003c7ff: cld; ret; 
0x0005bd98: cli; ret; 
0x0010dfe4: cmc; ret 0xffee; 
0x00104349: cmc; ret; 
0x0004e6d4: fabs; ret; 
0x000777d3: int1; ret; 
0x0005aa7e: into; ret; 
0x000f57fc: lahf; ret 0xd201; 
0x0006331a: lahf; ret 0xd284; 
0x00118eb5: leave; ret 0x3b81; 
0x001190d9: leave; ret 0x8581; 
0x0005cb6d: leave; ret 4; 
0x00022fc8: leave; ret; 
0x00122f80: nop; ret 0xfff8; 
0x00026d3c: nop; ret 0xffff; 
0x00026c3c: nop; ret; 
0x00116dc4: popal; ret; 
0x00047ffb: popfd; ret 0xc283; 
0x0010df0c: popfd; ret 0xffee; 
0x0011faa8: popfd; ret 0xfff0; 
0x000c7f1f: popfd; ret; 
0x0012081c: pushal; ret 0; 
0x000b9b1c: pushal; ret 0xfff6; 
0x00026d6c: pushal; ret 0xffff; 
0x00013c78: pushal; ret; 
0x001314d4: pushfd; ret 0; 
0x00063548: pushfd; ret 0xcde9; 
0x000a207b: pushfd; ret 0xd284; 
0x001398e0: pushfd; ret 0xfff5; 
0x00097b10: pushfd; ret; 
0x0000069c: ret; 
0x00124650: sahf; ret 0xfffc; 
0x0003790d: sahf; ret; 
0x0009f41e: salc; ret 6; 
0x000b7ad6: salc; ret; 
0x00086ea3: stc; ret; 
0x0003f3f9: sti; ret 0xc; 
0x000f7624: wbinvd; ret 0x5589; 
0x0011fab8: xlatb; ret 0xfff0; 
0x000a7895: xlatb; ret; 

2352 gadgets found
